Beginning training
global_step=444443, episodic_return=308.86
global_step=445444, episodic_return=347.73
global_step=446445, episodic_return=304.48
global_step=447446, episodic_return=344.65
global_step=448447, episodic_return=329.51
global_step=449448, episodic_return=168.55
global_step=450449, episodic_return=344.29
SPS: 641
global_step=451450, episodic_return=322.48
global_step=452451, episodic_return=214.47
global_step=453452, episodic_return=348.92
global_step=454453, episodic_return=322.06
global_step=455454, episodic_return=369.50
global_step=456455, episodic_return=377.09
global_step=457456, episodic_return=228.12
global_step=458457, episodic_return=344.43
SPS: 641
global_step=459458, episodic_return=345.99
global_step=460459, episodic_return=313.62
global_step=461460, episodic_return=193.21
global_step=462461, episodic_return=273.81
global_step=463462, episodic_return=58.10
global_step=464463, episodic_return=323.54
global_step=465464, episodic_return=336.60
global_step=466465, episodic_return=352.80
SPS: 641
global_step=467466, episodic_return=338.22
global_step=468467, episodic_return=393.45
global_step=469468, episodic_return=77.67
global_step=470469, episodic_return=388.37
global_step=471470, episodic_return=228.04
global_step=472471, episodic_return=265.61
global_step=473472, episodic_return=175.90
global_step=474473, episodic_return=369.90
SPS: 641
global_step=475474, episodic_return=198.69
global_step=476475, episodic_return=225.11
global_step=477476, episodic_return=345.36
global_step=478477, episodic_return=181.65
global_step=479478, episodic_return=340.41
global_step=480479, episodic_return=330.94
global_step=481480, episodic_return=154.20
global_step=482481, episodic_return=91.93
SPS: 641
global_step=483482, episodic_return=124.43
global_step=484483, episodic_return=373.90
global_step=485484, episodic_return=388.75
global_step=486485, episodic_return=253.02
global_step=487486, episodic_return=352.30
global_step=488487, episodic_return=363.32
global_step=489488, episodic_return=368.36
global_step=490489, episodic_return=26.04
global_step=491490, episodic_return=385.15
SPS: 641
global_step=492491, episodic_return=283.87
global_step=493492, episodic_return=386.52
global_step=494493, episodic_return=403.54
global_step=495494, episodic_return=404.14
global_step=496495, episodic_return=347.84
global_step=497496, episodic_return=362.20
global_step=498497, episodic_return=387.51
global_step=499498, episodic_return=269.16
SPS: 641
global_step=500499, episodic_return=384.14
global_step=501500, episodic_return=355.49
global_step=502501, episodic_return=201.56
global_step=503502, episodic_return=239.83
global_step=504503, episodic_return=366.05
global_step=505504, episodic_return=168.53
global_step=506505, episodic_return=146.20
global_step=507506, episodic_return=405.09
SPS: 642
global_step=508507, episodic_return=369.51
global_step=509508, episodic_return=360.83
global_step=510509, episodic_return=356.14
global_step=511510, episodic_return=139.04
global_step=512511, episodic_return=410.05
global_step=513512, episodic_return=342.83
global_step=514513, episodic_return=397.93
global_step=515514, episodic_return=325.73
SPS: 642
global_step=516515, episodic_return=395.58
global_step=517516, episodic_return=403.69
global_step=518517, episodic_return=184.23
global_step=519518, episodic_return=415.78
global_step=520519, episodic_return=320.01
global_step=521520, episodic_return=395.72
global_step=522521, episodic_return=130.75
global_step=523522, episodic_return=257.42
SPS: 642
global_step=524523, episodic_return=388.45
global_step=525524, episodic_return=395.48
global_step=526525, episodic_return=284.14
global_step=527526, episodic_return=398.59
global_step=528527, episodic_return=400.93
global_step=529528, episodic_return=243.71
global_step=530529, episodic_return=222.82
global_step=531530, episodic_return=376.30
SPS: 642
global_step=532531, episodic_return=96.69
global_step=533532, episodic_return=88.34
global_step=534533, episodic_return=409.13
global_step=535534, episodic_return=384.52
global_step=536535, episodic_return=404.74
global_step=537536, episodic_return=371.03
global_step=538537, episodic_return=404.95
global_step=539538, episodic_return=149.06
global_step=540539, episodic_return=395.62
SPS: 642
global_step=541540, episodic_return=281.34
global_step=542541, episodic_return=398.23
global_step=543542, episodic_return=302.86
global_step=544543, episodic_return=391.83
global_step=545544, episodic_return=388.45
global_step=546545, episodic_return=393.15
global_step=547546, episodic_return=404.12
global_step=548547, episodic_return=395.79
SPS: 642
global_step=549548, episodic_return=253.32
global_step=550549, episodic_return=390.17
global_step=551550, episodic_return=411.33
global_step=552551, episodic_return=422.49
global_step=553552, episodic_return=349.63
global_step=554553, episodic_return=421.27
global_step=555554, episodic_return=405.71
global_step=556555, episodic_return=368.84
SPS: 642
global_step=557556, episodic_return=385.81
global_step=558557, episodic_return=142.84
global_step=559558, episodic_return=439.04
global_step=560559, episodic_return=423.57
global_step=561560, episodic_return=403.64
global_step=562561, episodic_return=360.86
global_step=563562, episodic_return=421.42
global_step=564563, episodic_return=415.29
SPS: 642
global_step=565564, episodic_return=441.61
global_step=566565, episodic_return=423.38
global_step=567566, episodic_return=184.59
global_step=568567, episodic_return=416.41
global_step=569568, episodic_return=420.73
global_step=570569, episodic_return=407.26
global_step=571570, episodic_return=407.98
global_step=572571, episodic_return=426.92
SPS: 642
global_step=573572, episodic_return=407.01
global_step=574573, episodic_return=295.95
global_step=575574, episodic_return=116.14
global_step=576575, episodic_return=393.98
global_step=577576, episodic_return=330.01
global_step=578577, episodic_return=380.69
global_step=579578, episodic_return=438.73
global_step=580579, episodic_return=438.75
global_step=581580, episodic_return=404.27
SPS: 642
global_step=582581, episodic_return=358.71
global_step=583582, episodic_return=152.79
global_step=584583, episodic_return=449.82
global_step=585584, episodic_return=145.98
global_step=586585, episodic_return=212.56
global_step=587586, episodic_return=422.89
global_step=588587, episodic_return=438.57
global_step=589588, episodic_return=429.81
SPS: 642
global_step=590589, episodic_return=385.93
global_step=591590, episodic_return=438.42
global_step=592591, episodic_return=438.02
global_step=593592, episodic_return=451.13
global_step=594593, episodic_return=405.53
global_step=595594, episodic_return=250.60
global_step=596595, episodic_return=439.06
global_step=597596, episodic_return=388.15
SPS: 642
global_step=598597, episodic_return=58.62
global_step=599598, episodic_return=443.18
global_step=600599, episodic_return=304.58
global_step=601600, episodic_return=435.55
global_step=602601, episodic_return=427.51
global_step=603602, episodic_return=408.78
global_step=604603, episodic_return=310.83
global_step=605604, episodic_return=410.47
SPS: 642
global_step=606605, episodic_return=383.91
global_step=607606, episodic_return=223.14
global_step=608607, episodic_return=441.76
global_step=609608, episodic_return=410.53
global_step=610609, episodic_return=412.20
global_step=611610, episodic_return=443.44
global_step=612611, episodic_return=214.87
global_step=613612, episodic_return=435.47
SPS: 642
global_step=614613, episodic_return=418.11
global_step=615614, episodic_return=461.99
global_step=616615, episodic_return=403.29
global_step=617616, episodic_return=441.11
global_step=618617, episodic_return=335.23
global_step=619618, episodic_return=405.14
global_step=620619, episodic_return=227.00
global_step=621620, episodic_return=424.23
SPS: 642
global_step=622621, episodic_return=401.55
global_step=623622, episodic_return=431.05
global_step=624623, episodic_return=387.89
global_step=625624, episodic_return=446.61
global_step=626625, episodic_return=397.68
global_step=627626, episodic_return=431.89
global_step=628627, episodic_return=309.00
global_step=629628, episodic_return=437.13
global_step=630629, episodic_return=165.16
SPS: 642
global_step=631630, episodic_return=200.30
global_step=632631, episodic_return=413.45
global_step=633632, episodic_return=444.35
global_step=634633, episodic_return=380.27
global_step=635634, episodic_return=447.39
global_step=636635, episodic_return=445.63
global_step=637636, episodic_return=431.18
global_step=638637, episodic_return=391.97
SPS: 642
global_step=639638, episodic_return=389.59
global_step=640639, episodic_return=221.39
global_step=641640, episodic_return=438.02
global_step=642641, episodic_return=405.57
global_step=643642, episodic_return=449.42
global_step=644643, episodic_return=443.19
global_step=645644, episodic_return=379.91
global_step=646645, episodic_return=425.69
SPS: 642
global_step=647646, episodic_return=103.24
global_step=648647, episodic_return=458.27
global_step=649648, episodic_return=422.73
global_step=650649, episodic_return=414.20
