Beginning training
global_step=318317, episodic_return=691.06
global_step=319318, episodic_return=703.55
SPS: 125
global_step=320319, episodic_return=734.30
global_step=321320, episodic_return=737.31
global_step=322321, episodic_return=733.23
global_step=323322, episodic_return=724.64
global_step=324323, episodic_return=706.02
global_step=325324, episodic_return=731.26
global_step=326325, episodic_return=735.29
global_step=327326, episodic_return=729.25
SPS: 126
global_step=328327, episodic_return=733.73
global_step=329328, episodic_return=737.05
global_step=330329, episodic_return=747.44
global_step=331330, episodic_return=728.88
global_step=332331, episodic_return=745.58
global_step=333332, episodic_return=744.95
global_step=334333, episodic_return=239.75
global_step=335334, episodic_return=745.82
SPS: 126
global_step=336335, episodic_return=732.14
global_step=337336, episodic_return=743.33
global_step=338337, episodic_return=734.30
global_step=339338, episodic_return=742.37
global_step=340339, episodic_return=745.09
global_step=341340, episodic_return=737.50
global_step=342341, episodic_return=734.83
global_step=343342, episodic_return=731.23
SPS: 126
global_step=344343, episodic_return=701.22
global_step=345344, episodic_return=720.65
global_step=346345, episodic_return=269.91
global_step=347346, episodic_return=338.69
global_step=348347, episodic_return=731.15
global_step=349348, episodic_return=277.90
global_step=350349, episodic_return=715.09
global_step=351350, episodic_return=453.69
SPS: 126
global_step=352351, episodic_return=724.77
global_step=353352, episodic_return=460.93
global_step=354353, episodic_return=576.25
global_step=355354, episodic_return=389.29
global_step=356355, episodic_return=714.87
global_step=357356, episodic_return=693.73
global_step=358357, episodic_return=710.26
global_step=359358, episodic_return=624.90
global_step=360359, episodic_return=613.79
SPS: 126
global_step=361360, episodic_return=694.61
global_step=362361, episodic_return=681.44
global_step=363362, episodic_return=703.77
global_step=364363, episodic_return=688.54
global_step=365364, episodic_return=701.63
global_step=366365, episodic_return=695.53
global_step=367366, episodic_return=724.60
global_step=368367, episodic_return=408.82
SPS: 126
global_step=369368, episodic_return=700.53
global_step=370369, episodic_return=712.88
global_step=371370, episodic_return=723.89
global_step=372371, episodic_return=683.66
global_step=373372, episodic_return=723.05
global_step=374373, episodic_return=546.10
global_step=375374, episodic_return=723.39
global_step=376375, episodic_return=670.40
SPS: 127
global_step=377376, episodic_return=462.49
global_step=378377, episodic_return=699.89
global_step=379378, episodic_return=718.33
global_step=380379, episodic_return=702.83
global_step=381380, episodic_return=730.46
global_step=382381, episodic_return=723.27
global_step=383382, episodic_return=737.74
global_step=384383, episodic_return=705.12
SPS: 127
global_step=385384, episodic_return=704.79
global_step=386385, episodic_return=707.44
global_step=387386, episodic_return=708.32
global_step=388387, episodic_return=690.62
global_step=389388, episodic_return=681.42
global_step=390389, episodic_return=717.47
global_step=391390, episodic_return=717.01
global_step=392391, episodic_return=353.10
SPS: 127
global_step=393392, episodic_return=678.58
global_step=394393, episodic_return=164.63
global_step=395394, episodic_return=709.96
global_step=396395, episodic_return=705.50
global_step=397396, episodic_return=597.73
global_step=398397, episodic_return=697.02
global_step=399398, episodic_return=696.18
global_step=400399, episodic_return=706.78
global_step=401400, episodic_return=682.97
SPS: 127
global_step=402401, episodic_return=714.54
global_step=403402, episodic_return=688.85
global_step=404403, episodic_return=678.19
global_step=405404, episodic_return=721.15
global_step=406405, episodic_return=673.88
global_step=407406, episodic_return=644.15
global_step=408407, episodic_return=686.10
global_step=409408, episodic_return=668.86
SPS: 127
global_step=410409, episodic_return=636.84
global_step=411410, episodic_return=654.24
global_step=412411, episodic_return=703.18
global_step=413412, episodic_return=706.52
global_step=414413, episodic_return=675.02
global_step=415414, episodic_return=627.81
global_step=416415, episodic_return=646.20
global_step=417416, episodic_return=674.34
SPS: 127
global_step=418417, episodic_return=700.48
global_step=419418, episodic_return=708.18
global_step=420419, episodic_return=693.37
global_step=421420, episodic_return=703.81
global_step=422421, episodic_return=716.96
global_step=423422, episodic_return=716.85
global_step=424423, episodic_return=716.33
global_step=425424, episodic_return=731.90
SPS: 127
global_step=426425, episodic_return=230.08
global_step=427426, episodic_return=695.13
global_step=428427, episodic_return=729.62
global_step=429428, episodic_return=724.22
global_step=430429, episodic_return=596.55
global_step=431430, episodic_return=553.00
global_step=432431, episodic_return=708.92
global_step=433432, episodic_return=716.30
SPS: 127
global_step=434433, episodic_return=356.49
global_step=435434, episodic_return=732.92
global_step=436435, episodic_return=518.06
global_step=437436, episodic_return=727.02
global_step=438437, episodic_return=294.13
global_step=439438, episodic_return=726.53
global_step=440439, episodic_return=716.89
global_step=441440, episodic_return=706.93
SPS: 128
global_step=442441, episodic_return=485.05
global_step=443442, episodic_return=656.66
global_step=444443, episodic_return=705.48
global_step=445444, episodic_return=550.75
global_step=446445, episodic_return=667.07
global_step=447446, episodic_return=727.39
global_step=448447, episodic_return=720.59
global_step=449448, episodic_return=284.06
global_step=450449, episodic_return=693.85
SPS: 128
global_step=451450, episodic_return=681.94
global_step=452451, episodic_return=712.11
global_step=453452, episodic_return=604.75
global_step=454453, episodic_return=229.60
global_step=455454, episodic_return=652.11
global_step=456455, episodic_return=564.88
global_step=457456, episodic_return=707.49
global_step=458457, episodic_return=674.32
SPS: 128
global_step=459458, episodic_return=693.86
global_step=460459, episodic_return=714.52
global_step=461460, episodic_return=704.35
global_step=462461, episodic_return=700.78
global_step=463462, episodic_return=682.16
global_step=464463, episodic_return=695.56
global_step=465464, episodic_return=709.79
global_step=466465, episodic_return=700.32
SPS: 128
global_step=467466, episodic_return=407.00
global_step=468467, episodic_return=704.74
global_step=469468, episodic_return=680.09
global_step=470469, episodic_return=655.46
global_step=471470, episodic_return=704.09
global_step=472471, episodic_return=712.05
global_step=473472, episodic_return=701.78
global_step=474473, episodic_return=668.69
SPS: 128
global_step=475474, episodic_return=581.18
global_step=476475, episodic_return=712.50
global_step=477476, episodic_return=665.14
global_step=478477, episodic_return=671.05
global_step=479478, episodic_return=681.18
global_step=480479, episodic_return=704.80
global_step=481480, episodic_return=669.78
global_step=482481, episodic_return=672.82
SPS: 128
global_step=483482, episodic_return=701.97
global_step=484483, episodic_return=702.83
global_step=485484, episodic_return=725.39
global_step=486485, episodic_return=684.24
global_step=487486, episodic_return=709.48
global_step=488487, episodic_return=703.67
global_step=489488, episodic_return=705.78
global_step=490489, episodic_return=723.81
global_step=491490, episodic_return=724.43
SPS: 128
global_step=492491, episodic_return=717.05
global_step=493492, episodic_return=724.00
global_step=494493, episodic_return=703.11
global_step=495494, episodic_return=714.57
global_step=496495, episodic_return=717.48
global_step=497496, episodic_return=708.72
global_step=498497, episodic_return=723.32
global_step=499498, episodic_return=698.80
SPS: 129
global_step=500499, episodic_return=595.42
global_step=501500, episodic_return=715.80
global_step=502501, episodic_return=340.33
global_step=503502, episodic_return=715.43
global_step=504503, episodic_return=722.84
global_step=505504, episodic_return=721.21
global_step=506505, episodic_return=709.92
global_step=507506, episodic_return=729.61
SPS: 129
global_step=508507, episodic_return=728.60
global_step=509508, episodic_return=733.01
global_step=510509, episodic_return=736.34
global_step=511510, episodic_return=716.94
global_step=512511, episodic_return=723.34
global_step=513512, episodic_return=716.12
global_step=514513, episodic_return=728.38
global_step=515514, episodic_return=724.68
SPS: 129
global_step=516515, episodic_return=722.86
global_step=517516, episodic_return=724.15
global_step=518517, episodic_return=718.75
global_step=519518, episodic_return=725.91
global_step=520519, episodic_return=731.42
global_step=521520, episodic_return=736.60
global_step=522521, episodic_return=725.05
global_step=523522, episodic_return=727.99
SPS: 129
global_step=524523, episodic_return=732.24
global_step=525524, episodic_return=734.50
global_step=526525, episodic_return=724.35
global_step=527526, episodic_return=724.58
global_step=528527, episodic_return=734.67
global_step=529528, episodic_return=732.24
global_step=530529, episodic_return=707.15
global_step=531530, episodic_return=733.13
SPS: 129
global_step=532531, episodic_return=720.87
global_step=533532, episodic_return=733.08
global_step=534533, episodic_return=734.92
global_step=535534, episodic_return=729.10
global_step=536535, episodic_return=725.65
global_step=537536, episodic_return=719.95
global_step=538537, episodic_return=729.76
global_step=539538, episodic_return=708.46
global_step=540539, episodic_return=728.53
SPS: 129
global_step=541540, episodic_return=220.21
global_step=542541, episodic_return=216.07
global_step=543542, episodic_return=692.68
global_step=544543, episodic_return=661.22
global_step=545544, episodic_return=666.00
global_step=546545, episodic_return=316.79
global_step=547546, episodic_return=715.42
global_step=548547, episodic_return=713.88
SPS: 129
global_step=549548, episodic_return=524.72
global_step=550549, episodic_return=713.12
global_step=551550, episodic_return=723.99
global_step=552551, episodic_return=718.33
global_step=553552, episodic_return=724.78
global_step=554553, episodic_return=266.35
global_step=555554, episodic_return=723.38
global_step=556555, episodic_return=257.80
SPS: 129
global_step=557556, episodic_return=714.36
global_step=558557, episodic_return=717.43
global_step=559558, episodic_return=701.35
global_step=560559, episodic_return=687.78
global_step=561560, episodic_return=711.18
global_step=562561, episodic_return=260.11
global_step=563562, episodic_return=574.97
global_step=564563, episodic_return=711.64
SPS: 129
global_step=565564, episodic_return=647.56
global_step=566565, episodic_return=707.69
global_step=567566, episodic_return=718.00
global_step=568567, episodic_return=388.94
global_step=569568, episodic_return=728.54
global_step=570569, episodic_return=720.36
global_step=571570, episodic_return=662.11
global_step=572571, episodic_return=634.17
SPS: 129
global_step=573572, episodic_return=570.32
global_step=574573, episodic_return=706.51
global_step=575574, episodic_return=232.17
global_step=576575, episodic_return=725.87
global_step=577576, episodic_return=726.02
global_step=578577, episodic_return=714.44
global_step=579578, episodic_return=713.56
global_step=580579, episodic_return=721.58
global_step=581580, episodic_return=238.01
SPS: 129
global_step=582581, episodic_return=722.19
global_step=583582, episodic_return=702.21
